colour	y	yend	x	xend	showSelected1
#00FF00	1.05746070697088	1.81831449427527	2.51085387097151	2.26366666591315	1
#00FF00	1.05746070697088	1.81831449427527	2.51085387097151	2.26366666591315	2
#FF0000	3.59543627223846	4.2876150821996	9.42303482373386	9.82414390495838	2
#00FF00	1.05746070697088	1.81831449427527	2.51085387097151	2.26366666591315	3
#FF0000	3.59543627223846	4.2876150821996	9.42303482373386	9.82414390495838	3
#FF0000	1.6451405262724	2.4446286918446	5.99935102763397	6.02796349187571	3
#00FF00	1.05746070697088	1.81831449427527	2.51085387097151	2.26366666591315	4
#FF0000	3.59543627223846	4.2876150821996	9.42303482373386	9.82414390495838	4
#FF0000	1.6451405262724	2.4446286918446	5.99935102763397	6.02796349187571	4
#00FF00	4.35807199312115	4.47210204692816	5.54621302956849	4.75438151540101	4
#00FF00	1.05746070697088	1.81831449427527	2.51085387097151	2.26366666591315	5
#FF0000	3.59543627223846	4.2876150821996	9.42303482373386	9.82414390495838	5
#FF0000	1.6451405262724	2.4446286918446	5.99935102763397	6.02796349187571	5
#00FF00	4.35807199312115	4.47210204692816	5.54621302956849	4.75438151540101	5
#FF0000	4.30291331513421	5.10175952780424	4.00425827066813	4.0472085733765	5
#00FF00	1.05746070697088	1.81831449427527	2.51085387097151	2.26366666591315	6
#FF0000	3.59543627223846	4.2876150821996	9.42303482373386	9.82414390495838	6
#FF0000	1.6451405262724	2.4446286918446	5.99935102763397	6.02796349187571	6
#00FF00	4.35807199312115	4.47210204692816	5.54621302956849	4.75438151540101	6
#FF0000	4.30291331513421	5.10175952780424	4.00425827066813	4.0472085733765	6
#00FF00	0.0927014943811321	0.362863499518184	9.17896657132231	8.42596425327785	6
#00FF00	1.05746070697088	1.81831449427527	2.51085387097151	2.26366666591315	7
#FF0000	3.59543627223846	4.2876150821996	9.42303482373386	9.82414390495838	7
#FF0000	1.6451405262724	2.4446286918446	5.99935102763397	6.02796349187571	7
#00FF00	4.35807199312115	4.47210204692816	5.54621302956849	4.75438151540101	7
#FF0000	4.30291331513421	5.10175952780424	4.00425827066813	4.0472085733765	7
#00FF00	0.0927014943811321	0.362863499518184	9.17896657132231	8.42596425327785	7
#00FF00	2.53429741214737	2.74675746832267	4.026554721303	3.25528257443784	7
#00FF00	1.05746070697088	1.81831449427527	2.51085387097151	2.26366666591315	8
#FF0000	3.59543627223846	4.2876150821996	9.42303482373386	9.82414390495838	8
#FF0000	1.6451405262724	2.4446286918446	5.99935102763397	6.02796349187571	8
#00FF00	4.35807199312115	4.47210204692816	5.54621302956849	4.75438151540101	8
#FF0000	4.30291331513421	5.10175952780424	4.00425827066813	4.0472085733765	8
#00FF00	0.0927014943811321	0.362863499518184	9.17896657132231	8.42596425327785	8
#00FF00	2.53429741214737	2.74675746832267	4.026554721303	3.25528257443784	8
#00FF00	4.0852074069961	4.83898303694436	3.01639122081855	2.74839439304611	8
#00FF00	1.05746070697088	1.81831449427527	2.51085387097151	2.26366666591315	9
#FF0000	3.59543627223846	4.2876150821996	9.42303482373386	9.82414390495838	9
#FF0000	1.6451405262724	2.4446286918446	5.99935102763397	6.02796349187571	9
#00FF00	4.35807199312115	4.47210204692816	5.54621302956849	4.75438151540101	9
#FF0000	4.30291331513421	5.10175952780424	4.00425827066813	4.0472085733765	9
#00FF00	0.0927014943811321	0.362863499518184	9.17896657132231	8.42596425327785	9
#00FF00	2.53429741214737	2.74675746832267	4.026554721303	3.25528257443784	9
#00FF00	4.0852074069961	4.83898303694436	3.01639122081855	2.74839439304611	9
#FF0000	2.37281667098855	3.14153347366969	1.59568855138634	1.81721615074064	9
#00FF00	1.05746070697088	1.81831449427527	2.51085387097151	2.26366666591315	10
#FF0000	3.59543627223846	4.2876150821996	9.42303482373386	9.82414390495838	10
#FF0000	1.6451405262724	2.4446286918446	5.99935102763397	6.02796349187571	10
#00FF00	4.35807199312115	4.47210204692816	5.54621302956849	4.75438151540101	10
#FF0000	4.30291331513421	5.10175952780424	4.00425827066813	4.0472085733765	10
#00FF00	0.0927014943811321	0.362863499518184	9.17896657132231	8.42596425327785	10
#00FF00	2.53429741214737	2.74675746832267	4.026554721303	3.25528257443784	10
#00FF00	4.0852074069961	4.83898303694436	3.01639122081855	2.74839439304611	10
#FF0000	2.37281667098855	3.14153347366969	1.59568855138634	1.81721615074064	10
#00FF00	2.10473798825524	2.46140936477923	1.36367223999771	2.07976268761483	10
#00FF00	1.05746070697088	1.81831449427527	2.51085387097151	2.26366666591315	11
